DISTRICT,PROVINCE,ECOLOGICAL BELT,DEVELOPMENT REGION,BUFF,MUTTON,CHEVON,PORK,CHICKEN,DUCK MEAT,TOTAL MEAT,MILKING COWS NO.,MILKING BUFFALOES NO.,COW MILK,BUFF MILK,TOTAL MILK PRODUCED,LAYING HEN,LAYING DUCK,HEN EGG,DUCK EGG,TOTAL EGG,SHEEPS NO.,SHEEP WOOL PRODUCED,HORSES/ASSES,RABBIT,YAK/NAK/CHAURI,COTTON AREA (Ha.),COTTON PROD. (Mt.),COTTON YIELD (Kg/Ha),LATITUDE,LONGITUDE
TAPLEJUNG,KOSHI,MOUNTAIN,EASTERN REGION,607,31,491,443,172,0,1744,8123,4987,5389,4257,9645.0,15366.0,341,2420,25,2445,5777,3519,543.0,506.0,3465.0,0.0,0.0,0.0,27.61858869,87.85666093
SANKHUWASHAVA,KOSHI,MOUNTAIN,EASTERN REGION,1646,41,958,509,302,1,3457,15342,13367,6988,10589,17577.0,77512.0,465,5506,34,5540,12181,9050,358.0,313.0,3945.0,0.0,0.0,0.0,27.52454419,87.29855621
SOLUKHUMBU,KOSHI,MOUNTAIN,EASTERN REGION,1123,28,416,428,166,0,2161,7819,13501,2948,5493,8441.0,42671.0,374,2345,28,2373,8461,6286,1775.0,105.0,12235.0,0.0,0.0,0.0,27.75423434,86.69879175
PANCHTHAR,KOSHI,HILL,EASTERN REGION,1496,4,940,730,248,1,3419,14854,11331,8511,9835,18346.0,63779.0,261,5581,19,5600,1338,994,15.0,29.0,1075.0,0.0,0.0,0.0,27.05953098,87.82000369
ILLAM,KOSHI,HILL,EASTERN REGION,1974,1,870,416,104,0,3365,26821,5759,19735,15261,34996.0,26781.0,332,6656,27,6683,160,118,2815.0,240.0,165.0,0.0,0.0,0.0,26.8560453,87.9452083
TERHATHUM,KOSHI,HILL,EASTERN REGION,2358,24,399,486,116,1,3384,18880,13276,10089,11500,21589.0,26030.0,514,3000,39,3039,7083,5262,42.0,206.0,0.0,0.0,0.0,0.0,27.13350032,87.55401564
DHANKUTA,KOSHI,HILL,EASTERN REGION,1521,2,405,462,471,2,2863,12523,5391,8176,4579,12755.0,120878.0,1400,1878,109,1987,577,324,0.0,213.0,0.0,0.0,0.0,0.0,26.97426594,87.36675537
BHOJPUR,KOSHI,HILL,EASTERN REGION,1251,51,313,919,251,2,2787,14103,16342,7324,14184,21508.0,53957.0,1136,4037,88,4125,18210,13530,168.0,42.0,887.0,0.0,0.0,0.0,27.21832031,87.06666799
KHOTANG,KOSHI,HILL,EASTERN REGION,1997,31,442,705,310,1,3486,12998,19501,7105,12275,19380.0,50271.0,354,4310,27,4337,9156,5925,350.0,100.0,350.0,0.0,0.0,0.0,27.10524151,86.76344684
OKHALDHUNGA,KOSHI,HILL,EASTERN REGION,1497,31,685,751,294,0,3258,7930,11693,4555,5516,10071.0,59344.0,445,3296,33,3329,9105,6756,102.0,645.0,675.0,0.0,0.0,0.0,27.32850363,86.41723305
UDAYAPUR,KOSHI,HILL,EASTERN REGION,3346,2,1430,818,578,2,6176,15867,26138,9092,22687,31779.0,148326.0,1474,50120,116,50236,609,452,1302.0,1217.0,0.0,0.0,0.0,0.0,26.89706243,86.62430815
JHAPA,KOSHI,TERAI,EASTERN REGION,5241,0,1447,1115,1425,9,9237,36068,19327,29667,32457,62124.0,199044.0,3200,28610,258,28868,36,13,42.0,370.0,0.0,0.0,0.0,0.0,26.57197501,87.95532113
